county,town,precinct,office,district,party,candidate,votes
Essex,Norton,NA,Governor,NA,Democratic,Peter Shumlin,12
Windsor,Norwich,NA,Governor,NA,Democratic,Peter Shumlin,"1,404"
Orange,Orange,NA,Governor,NA,Democratic,Peter Shumlin,128
Addison,Orwell,NA,Governor,NA,Democratic,Peter Shumlin,199
Addison,Panton,NA,Governor,NA,Democratic,Peter Shumlin,102
Rutland,Pawlet,NA,Governor,NA,Democratic,Peter Shumlin,249
Caledonia,Peacham,NA,Governor,NA,Democratic,Peter Shumlin,219
Bennington,Peru,NA,Governor,NA,Democratic,Peter Shumlin,86
Rutland,Pittsfield,NA,Governor,NA,Democratic,Peter Shumlin,99
Rutland,Pittsford,NA,Governor,NA,Democratic,Peter Shumlin,445
Washington,Plainfield,NA,Governor,NA,Democratic,Peter Shumlin,389
Windsor,Plymouth,NA,Governor,NA,Democratic,Peter Shumlin,110
Windsor,Pomfret,NA,Governor,NA,Democratic,Peter Shumlin,284
Rutland,Poultney,NA,Governor,NA,Democratic,Peter Shumlin,475
Bennington,Pownal,NA,Governor,NA,Democratic,Peter Shumlin,683
Rutland,Proctor,NA,Governor,NA,Democratic,Peter Shumlin,281
Windham,Putney,NA,Governor,NA,Democratic,Peter Shumlin,851
Orange,Randolph,NA,Governor,NA,Democratic,Peter Shumlin,895
Windsor,Reading,NA,Governor,NA,Democratic,Peter Shumlin,186
Bennington,Readsboro,NA,Governor,NA,Democratic,Peter Shumlin,126
Franklin,Richford,NA,Governor,NA,Democratic,Peter Shumlin,249
Chittenden,Richmond,NA,Governor,NA,Democratic,Peter Shumlin,"1,120"
Addison,Ripton,NA,Governor,NA,Democratic,Peter Shumlin,202
Windsor,Rochester,NA,Governor,NA,Democratic,Peter Shumlin,335
Windham,Rockingham,NA,Governor,NA,Democratic,Peter Shumlin,"1,024"
Washington,Roxbury,NA,Governor,NA,Democratic,Peter Shumlin,144
Windsor,Royalton,NA,Governor,NA,Democratic,Peter Shumlin,513
Bennington,Rupert,Bennington 5,Governor,NA,Democratic,Peter Shumlin,17
Bennington,Rupert,Rutland 8,Governor,NA,Democratic,Peter Shumlin,121
