county,town,precinct,office,district,party,candidate,votes
Orange,Thetford,NA,Secretary of State,NA,Republican,Jason Gibbs,30
Rutland,Tinmouth,NA,Secretary of State,NA,Republican,Jason Gibbs,16
Orange,Topsham,NA,Secretary of State,NA,Republican,Jason Gibbs,42
Windham,Townshend,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Orleans,Troy,NA,Secretary of State,NA,Republican,Jason Gibbs,26
Orange,Tunbridge,NA,Secretary of State,NA,Republican,Jason Gibbs,41
Chittenden,Underhill,NA,Secretary of State,NA,Republican,Jason Gibbs,57
Addison,Vergennes,NA,Secretary of State,NA,Republican,Jason Gibbs,74
Windham,Vernon,NA,Secretary of State,NA,Republican,Jason Gibbs,82
Orange,Vershire,NA,Secretary of State,NA,Republican,Jason Gibbs,12
Essex,Victory,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Washington,Waitsfield,NA,Secretary of State,NA,Republican,Jason Gibbs,63
Caledonia,Walden,NA,Secretary of State,NA,Republican,Jason Gibbs,27
Rutland,Wallingford,NA,Secretary of State,NA,Republican,Jason Gibbs,80
Addison,Waltham,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Windham,Wardsboro,NA,Secretary of State,NA,Republican,Jason Gibbs,12
Washington,Warren,NA,Secretary of State,NA,Republican,Jason Gibbs,46
Orange,Washington,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Washington,Waterbury,NA,Secretary of State,NA,Republican,Jason Gibbs,194
Caledonia,Waterford,NA,Secretary of State,NA,Republican,Jason Gibbs,53
Lamoille,Waterville,NA,Secretary of State,NA,Republican,Jason Gibbs,21
Windsor,Weathersfield,NA,Secretary of State,NA,Republican,Jason Gibbs,57
Rutland,Wells,NA,Secretary of State,NA,Republican,Jason Gibbs,24
Orange,W. Fairlee,NA,Secretary of State,NA,Republican,Jason Gibbs,17
Rutland,W. Haven,NA,Secretary of State,NA,Republican,Jason Gibbs,7
Rutland,W. Rutland,NA,Secretary of State,NA,Republican,Jason Gibbs,82
Windsor,W. Windsor,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Orleans,Westfield,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Chittenden,Westford,NA,Secretary of State,NA,Republican,Jason Gibbs,80
Windham,Westminster,Windham 4,Secretary of State,NA,Republican,Jason Gibbs,3
Windham,Westminster,Windham 5,Secretary of State,NA,Republican,Jason Gibbs,20
Orleans,Westmore,NA,Secretary of State,NA,Republican,Jason Gibbs,8
Windsor,Weston,NA,Secretary of State,NA,Republican,Jason Gibbs,19
Addison,Weybridge,NA,Secretary of State,NA,Republican,Jason Gibbs,28
Caledonia,Wheelock,NA,Secretary of State,NA,Republican,Jason Gibbs,33
Addison,Whiting,NA,Secretary of State,NA,Republican,Jason Gibbs,15
Windham,Whitingham,NA,Secretary of State,NA,Republican,Jason Gibbs,23
Orange,Williamstown,NA,Secretary of State,NA,Republican,Jason Gibbs,99
Chittenden,Williston,NA,Secretary of State,NA,Republican,Jason Gibbs,115
Windham,Wilmington,NA,Secretary of State,NA,Republican,Jason Gibbs,35
Windham,Windham,NA,Secretary of State,NA,Republican,Jason Gibbs,5
Windsor,Windsor,NA,Secretary of State,NA,Republican,Jason Gibbs,42
Bennington,Winhall,NA,Secretary of State,NA,Republican,Jason Gibbs,25
Chittenden,Winooski,NA,Secretary of State,NA,Republican,Jason Gibbs,63
Lamoille,Wolcott,NA,Secretary of State,NA,Republican,Jason Gibbs,40
Washington,Woodbury,NA,Secretary of State,NA,Republican,Jason Gibbs,53
Bennington,Woodford,NA,Secretary of State,NA,Republican,Jason Gibbs,6
Windsor,Woodstock,NA,Secretary of State,NA,Republican,Jason Gibbs,69
Washington,Worcester,NA,Secretary of State,NA,Republican,Jason Gibbs,31
Addison,Addison,NA,Secretary of State,NA,Republican,Chris Roy,37
Orleans,Albany,NA,Secretary of State,NA,Republican,Chris Roy,43
Grand Isle,Alburgh,NA,Secretary of State,NA,Republican,Chris Roy,36
Windsor,Andover,NA,Secretary of State,NA,Republican,Chris Roy,13
Bennington,Arlington,NA,Secretary of State,NA,Republican,Chris Roy,41
Windham,Athens,NA,Secretary of State,NA,Republican,Chris Roy,2
Franklin,Bakersfield,NA,Secretary of State,NA,Republican,Chris Roy,21
Windsor,Baltimore,NA,Secretary of State,NA,Republican,Chris Roy,8
Windsor,Barnard,NA,Secretary of State,NA,Republican,Chris Roy,19
Caledonia,Barnet,NA,Secretary of State,NA,Republican,Chris Roy,45
Washington,Barre City,Washington 3-1,Secretary of State,NA,Republican,Chris Roy,98
Washington,Barre City,Washington 3-2,Secretary of State,NA,Republican,Chris Roy,71
Washington,Barre City,Washington 3-3,Secretary of State,NA,Republican,Chris Roy,10
Washington,Barre Town,NA,Secretary of State,NA,Republican,Chris Roy,364
Orleans,Barton,NA,Secretary of State,NA,Republican,Chris Roy,83
Lamoille,Belvidere,NA,Secretary of State,NA,Republican,Chris Roy,7
Bennington,Bennington,Bennington 2-1,Secretary of State,NA,Republican,Chris Roy,58
Bennington,Bennington,Bennington 2-2,Secretary of State,NA,Republican,Chris Roy,71
Rutland,Benson,NA,Secretary of State,NA,Republican,Chris Roy,19
Franklin,Berkshire,NA,Secretary of State,NA,Republican,Chris Roy,18
Washington,Berlin,NA,Secretary of State,NA,Republican,Chris Roy,48
Windsor,Bethel,NA,Secretary of State,NA,Republican,Chris Roy,29
Essex,Bloomfield,NA,Secretary of State,NA,Republican,Chris Roy,5
Chittenden,Bolton,NA,Secretary of State,NA,Republican,Chris Roy,16
Orange,Bradford,NA,Secretary of State,NA,Republican,Chris Roy,52
Orange,Braintree,NA,Secretary of State,NA,Republican,Chris Roy,27
Rutland,Brandon,NA,Secretary of State,NA,Republican,Chris Roy,46
Windham,Brattleboro,Windham 3-1,Secretary of State,NA,Republican,Chris Roy,51
Windham,Brattleboro,Windham 3-2,Secretary of State,NA,Republican,Chris Roy,28
Windham,Brattleboro,Windham 3-3,Secretary of State,NA,Republican,Chris Roy,21
Windsor,Bridgewater,NA,Secretary of State,NA,Republican,Chris Roy,22
Addison,Bridport,NA,Secretary of State,NA,Republican,Chris Roy,45
Essex,Brighton,NA,Secretary of State,NA,Republican,Chris Roy,44
Addison,Bristol,NA,Secretary of State,NA,Republican,Chris Roy,97
Orange,Brookfield,NA,Secretary of State,NA,Republican,Chris Roy,22
Windham,Brookline,NA,Secretary of State,NA,Republican,Chris Roy,11
Orleans,Brownington,NA,Secretary of State,NA,Republican,Chris Roy,9
Essex,Brunswick,NA,Secretary of State,NA,Republican,Chris Roy,4
Caledonia,Burke,NA,Secretary of State,NA,Republican,Chris Roy,34
Chittenden,Burlington,Chittenden 3-1,Secretary of State,NA,Republican,Chris Roy,161
Chittenden,Burlington,Chittenden 3-2,Secretary of State,NA,Republican,Chris Roy,85
Chittenden,Burlington,Chittenden 3-3,Secretary of State,NA,Republican,Chris Roy,44
Chittenden,Burlington,Chittenden 3-4,Secretary of State,NA,Republican,Chris Roy,23
Chittenden,Burlington,Chittenden 3-5,Secretary of State,NA,Republican,Chris Roy,111
Chittenden,Burlington,Chittenden 3-6,Secretary of State,NA,Republican,Chris Roy,8
Washington,Cabot,NA,Secretary of State,NA,Republican,Chris Roy,17
Washington,Calais,NA,Secretary of State,NA,Republican,Chris Roy,20
Lamoille,Cambridge,NA,Secretary of State,NA,Republican,Chris Roy,65
Essex,Canaan,NA,Secretary of State,NA,Republican,Chris Roy,10
Rutland,Castleton,NA,Secretary of State,NA,Republican,Chris Roy,51
Windsor,Cavendish,NA,Secretary of State,NA,Republican,Chris Roy,31
Orleans,Charleston,NA,Secretary of State,NA,Republican,Chris Roy,22
Chittenden,Charlotte,NA,Secretary of State,NA,Republican,Chris Roy,107
Orange,Chelsea,NA,Secretary of State,NA,Republican,Chris Roy,24
Windsor,Chester,NA,Secretary of State,NA,Republican,Chris Roy,55
Rutland,Chittenden,NA,Secretary of State,NA,Republican,Chris Roy,44
Rutland,Clarendon,NA,Secretary of State,NA,Republican,Chris Roy,48
Chittenden,Colchester,Chittenden 7-1,Secretary of State,NA,Republican,Chris Roy,145
Chittenden,Colchester,Chittenden 7-2,Secretary of State,NA,Republican,Chris Roy,200
Essex,Concord,NA,Secretary of State,NA,Republican,Chris Roy,28
Orange,Corinth,NA,Secretary of State,NA,Republican,Chris Roy,25
Addison,Cornwall,NA,Secretary of State,NA,Republican,Chris Roy,21
Orleans,Coventry,NA,Secretary of State,NA,Republican,Chris Roy,17
Orleans,Craftsbury,NA,Secretary of State,NA,Republican,Chris Roy,29
Rutland,Danby,NA,Secretary of State,NA,Republican,Chris Roy,33
Caledonia,Danville,NA,Secretary of State,NA,Republican,Chris Roy,34
Orleans,Derby,NA,Secretary of State,NA,Republican,Chris Roy,116
Bennington,Dorset,NA,Secretary of State,NA,Republican,Chris Roy,32
Windham,Dover,NA,Secretary of State,NA,Republican,Chris Roy,26
Windham,Dummerston,NA,Secretary of State,NA,Republican,Chris Roy,26
Washington,Duxbury,NA,Secretary of State,NA,Republican,Chris Roy,8
Essex,E. Haven,NA,Secretary of State,NA,Republican,Chris Roy,21
Washington,E. Montpelier,NA,Secretary of State,NA,Republican,Chris Roy,64
Lamoille,Eden,NA,Secretary of State,NA,Republican,Chris Roy,14
Lamoille,Elmore,NA,Secretary of State,NA,Republican,Chris Roy,7
Franklin,Enosburgh,NA,Secretary of State,NA,Republican,Chris Roy,38
Chittenden,Essex,Chittenden 6-1,Secretary of State,NA,Republican,Chris Roy,182
Chittenden,Essex,Chittenden 6-2,Secretary of State,NA,Republican,Chris Roy,202
Chittenden,Essex,Chittenden 6-3,Secretary of State,NA,Republican,Chris Roy,52
Rutland,Fair Haven,NA,Secretary of State,NA,Republican,Chris Roy,55
Franklin,Fairfax,NA,Secretary of State,NA,Republican,Chris Roy,61
Franklin,Fairfield,NA,Secretary of State,NA,Republican,Chris Roy,34
Orange,Fairlee,NA,Secretary of State,NA,Republican,Chris Roy,13
Washington,Fayston,NA,Secretary of State,NA,Republican,Chris Roy,11
