county,town,precinct,office,district,party,candidate,votes
Chittenden,St. Albans Town,NA,President,NA,Republican,John McCain,341
Grand Isle,St. George,NA,President,NA,Republican,John McCain,24
Windsor,St. Johnsbury,NA,President,NA,Republican,John McCain,356
Bennington,Stamford,NA,President,NA,Republican,John McCain,60
Caledonia,Stannard,NA,President,NA,Republican,John McCain,11
Addison,Starksboro,NA,President,NA,Republican,John McCain,47
Windsor,Stockbridge,NA,President,NA,Republican,John McCain,28
Lamoille,Stowe,NA,President,NA,Republican,John McCain,335
Orange,Strafford,NA,President,NA,Republican,John McCain,26
Windham,Stratton,NA,President,NA,Republican,John McCain,22
Rutland,Sudbury,NA,President,NA,Republican,John McCain,29
Bennington,Sunderland,NA,President,NA,Republican,John McCain,55
Caledonia,Sutton,NA,President,NA,Republican,John McCain,41
Franklin,Swanton,NA,President,NA,Republican,John McCain,317
Orange,Thetford,NA,President,NA,Republican,John McCain,121
Rutland,Tinmouth,NA,President,NA,Republican,John McCain,62
Orange,Topsham,NA,President,NA,Republican,John McCain,52
Windham,Townshend,NA,President,NA,Republican,John McCain,32
Orleans,Troy,NA,President,NA,Republican,John McCain,30
Orange,Tunbridge,NA,President,NA,Republican,John McCain,7
Chittenden,Underhill,NA,President,NA,Republican,John McCain,186
Addison,Vergennes,NA,President,NA,Republican,John McCain,104
Windham,Vernon,NA,President,NA,Republican,John McCain,186
Orange,Vershire,NA,President,NA,Republican,John McCain,52
Essex,Victory,NA,President,NA,Republican,John McCain,5
Washington,Waitsfield,NA,President,NA,Republican,John McCain,103
Caledonia,Walden,NA,President,NA,Republican,John McCain,59
Rutland,Wallingford,NA,President,NA,Republican,John McCain,141
Addison,Waltham,NA,President,NA,Republican,John McCain,15
Windham,Wardsboro,NA,President,NA,Republican,John McCain,46
Washington,Warren,NA,President,NA,Republican,John McCain,66
Orange,Washington,NA,President,NA,Republican,John McCain,47
Washington,Waterbury,NA,President,NA,Republican,John McCain,234
Caledonia,Waterford,NA,President,NA,Republican,John McCain,90
Lamoille,Waterville,NA,President,NA,Republican,John McCain,24
Windsor,Weathersfield,NA,President,NA,Republican,John McCain,133
Rutland,Wells,NA,President,NA,Republican,John McCain,65
Orange,W. Fairlee,NA,President,NA,Republican,John McCain,58
Rutland,W. Haven,NA,President,NA,Republican,John McCain,21
Rutland,W. Rutland,NA,President,NA,Republican,John McCain,147
Windsor,W. Windsor,NA,President,NA,Republican,John McCain,56
Orleans,Westfield,NA,President,NA,Republican,John McCain,35
Chittenden,Westford,NA,President,NA,Republican,John McCain,75
Windham,Westminster,NA,President,NA,Republican,John McCain,108
Orleans,Westmore,NA,President,NA,Republican,John McCain,18
Windsor,Weston,NA,President,NA,Republican,John McCain,48
Addison,Weybridge,NA,President,NA,Republican,John McCain,38
Caledonia,Wheelock,NA,President,NA,Republican,John McCain,37
Addison,Whiting,NA,President,NA,Republican,John McCain,13
Windham,Whitingham,NA,President,NA,Republican,John McCain,86
Orange,Williamstown,NA,President,NA,Republican,John McCain,153
Chittenden,Williston,NA,President,NA,Republican,John McCain,493
Windham,Wilmington,NA,President,NA,Republican,John McCain,126
Windham,Windham,NA,President,NA,Republican,John McCain,10
Windsor,Windsor,NA,President,NA,Republican,John McCain,162
Bennington,Winhall,NA,President,NA,Republican,John McCain,52
Chittenden,Winooski,NA,President,NA,Republican,John McCain,140
Lamoille,Wolcott,NA,President,NA,Republican,John McCain,33
Washington,Woodbury,NA,President,NA,Republican,John McCain,51
Bennington,Woodford,NA,President,NA,Republican,John McCain,18
Windsor,Woodstock,NA,President,NA,Republican,John McCain,218
Washington,Worcester,NA,President,NA,Republican,John McCain,49
Addison,Addison,NA,President,NA,Republican,Mike Huckabee,28
Orleans,Albany,NA,President,NA,Republican,Mike Huckabee,9
Grand Isle,Alburgh,NA,President,NA,Republican,Mike Huckabee,18
Windsor,Andover,NA,President,NA,Republican,Mike Huckabee,7
Bennington,Arlington,NA,President,NA,Republican,Mike Huckabee,36
Windham,Athens,NA,President,NA,Republican,Mike Huckabee,6
Franklin,Bakersfield,NA,President,NA,Republican,Mike Huckabee,12
Windsor,Baltimore,NA,President,NA,Republican,Mike Huckabee,4
Windsor,Barnard,NA,President,NA,Republican,Mike Huckabee,13
Caledonia,Barnet,NA,President,NA,Republican,Mike Huckabee,23
Washington,Barre City,NA,President,NA,Republican,Mike Huckabee,79
Washington,Barre Town,NA,President,NA,Republican,Mike Huckabee,130
Orleans,Barton,NA,President,NA,Republican,Mike Huckabee,22
Lamoille,Belvidere,NA,President,NA,Republican,Mike Huckabee,7
Bennington,Bennington,1,President,NA,Republican,Mike Huckabee,8
Bennington,Bennington,Bennington 2-1 And 2-2,President,NA,Republican,Mike Huckabee,98
Rutland,Benson,NA,President,NA,Republican,Mike Huckabee,17
Franklin,Berkshire,NA,President,NA,Republican,Mike Huckabee,16
Washington,Berlin,NA,President,NA,Republican,Mike Huckabee,29
Windsor,Bethel,NA,President,NA,Republican,Mike Huckabee,38
Essex,Bloomfield,NA,President,NA,Republican,Mike Huckabee,3
Chittenden,Bolton,NA,President,NA,Republican,Mike Huckabee,5
Orange,Bradford,NA,President,NA,Republican,Mike Huckabee,8
Orange,Braintree,NA,President,NA,Republican,Mike Huckabee,12
Rutland,Brandon,NA,President,NA,Republican,Mike Huckabee,60
Windham,Brattleboro,NA,President,NA,Republican,Mike Huckabee,80
Windsor,Bridgewater,NA,President,NA,Republican,Mike Huckabee,4
Addison,Bridport,NA,President,NA,Republican,Mike Huckabee,21
Essex,Brighton,NA,President,NA,Republican,Mike Huckabee,50
Addison,Bristol,NA,President,NA,Republican,Mike Huckabee,37
Orange,Brookfield,NA,President,NA,Republican,Mike Huckabee,18
Windham,Brookline,NA,President,NA,Republican,Mike Huckabee,7
Orleans,Brownington,NA,President,NA,Republican,Mike Huckabee,12
Essex,Brunswick,NA,President,NA,Republican,Mike Huckabee,0
Caledonia,Burke,NA,President,NA,Republican,Mike Huckabee,25
Chittenden,Burlington,Chittenden Ward 1,President,NA,Republican,Mike Huckabee,12
Chittenden,Burlington,Chittenden Ward 2,President,NA,Republican,Mike Huckabee,6
Chittenden,Burlington,Chittenden Ward 3,President,NA,Republican,Mike Huckabee,7
Chittenden,Burlington,Chittenden Ward 4,President,NA,Republican,Mike Huckabee,39
Chittenden,Burlington,Chittenden Ward 5,President,NA,Republican,Mike Huckabee,20
Chittenden,Burlington,Chittenden Ward 6,President,NA,Republican,Mike Huckabee,7
Chittenden,Burlington,Chittenden Ward 7,President,NA,Republican,Mike Huckabee,39
Washington,Cabot,NA,President,NA,Republican,Mike Huckabee,24
Washington,Calais,NA,President,NA,Republican,Mike Huckabee,14
Lamoille,Cambridge,NA,President,NA,Republican,Mike Huckabee,34
Essex,Canaan,NA,President,NA,Republican,Mike Huckabee,12
Rutland,Castleton,NA,President,NA,Republican,Mike Huckabee,55
Windsor,Cavendish,NA,President,NA,Republican,Mike Huckabee,26
Orleans,Charleston,NA,President,NA,Republican,Mike Huckabee,10
Chittenden,Charlotte,NA,President,NA,Republican,Mike Huckabee,11
Orange,Chelsea,NA,President,NA,Republican,Mike Huckabee,9
Windsor,Chester,NA,President,NA,Republican,Mike Huckabee,49
Rutland,Chittenden,NA,President,NA,Republican,Mike Huckabee,28
Rutland,Clarendon,NA,President,NA,Republican,Mike Huckabee,47
Chittenden,Colchester,Chittenden 7-1,President,NA,Republican,Mike Huckabee,55
Chittenden,Colchester,Chittenden 7-2,President,NA,Republican,Mike Huckabee,50
Essex,Concord,NA,President,NA,Republican,Mike Huckabee,15
Orange,Corinth,NA,President,NA,Republican,Mike Huckabee,22
Addison,Cornwall,NA,President,NA,Republican,Mike Huckabee,14
Orleans,Coventry,NA,President,NA,Republican,Mike Huckabee,8
Orleans,Craftsbury,NA,President,NA,Republican,Mike Huckabee,4
Rutland,Danby,NA,President,NA,Republican,Mike Huckabee,30
Caledonia,Danville,NA,President,NA,Republican,Mike Huckabee,23
Orleans,Derby,NA,President,NA,Republican,Mike Huckabee,60
Bennington,Dorset,NA,President,NA,Republican,Mike Huckabee,20
Windham,Dover,NA,President,NA,Republican,Mike Huckabee,15
Windham,Dummerston,NA,President,NA,Republican,Mike Huckabee,15
Washington,Duxbury,NA,President,NA,Republican,Mike Huckabee,9
Essex,E. Haven,NA,President,NA,Republican,Mike Huckabee,5
Washington,E. Montpelier,NA,President,NA,Republican,Mike Huckabee,18
Lamoille,Eden,NA,President,NA,Republican,Mike Huckabee,3
Lamoille,Elmore,NA,President,NA,Republican,Mike Huckabee,7
Franklin,Enosburgh,NA,President,NA,Republican,Mike Huckabee,16
Chittenden,Essex,Chittenden 6-1 And 6-3,President,NA,Republican,Mike Huckabee,90
Chittenden,Essex,Chittenden 6-2,President,NA,Republican,Mike Huckabee,61
Rutland,Fair Haven,NA,President,NA,Republican,Mike Huckabee,26
Franklin,Fairfax,NA,President,NA,Republican,Mike Huckabee,54
Franklin,Fairfield,NA,President,NA,Republican,Mike Huckabee,7
Orange,Fairlee,NA,President,NA,Republican,Mike Huckabee,5
Washington,Fayston,NA,President,NA,Republican,Mike Huckabee,8
Addison,Ferrisburgh,NA,President,NA,Republican,Mike Huckabee,35
Franklin,Fletcher,NA,President,NA,Republican,Mike Huckabee,13
Franklin,Franklin,NA,President,NA,Republican,Mike Huckabee,28
Franklin,Georgia,NA,President,NA,Republican,Mike Huckabee,46
Orleans,Glover,NA,President,NA,Republican,Mike Huckabee,6
